timestep,n_clusters,avg_cluster_size
16000,32,6.640625
17000,33,6.4393939393939394
18000,42,5.059523809523809
19000,36,5.902777777777778
20000,37,5.743243243243243
21000,36,5.902777777777778
22000,38,5.592105263157895
23000,37,5.743243243243243
24000,34,6.25
25000,34,6.25
26000,36,5.902777777777778
27000,42,5.059523809523809
28000,36,5.902777777777778
29000,31,6.854838709677419
30000,32,6.640625
31000,36,5.902777777777778
32000,34,6.25
33000,34,6.25
34000,35,6.071428571428571
35000,32,6.640625
36000,33,6.4393939393939394
37000,31,6.854838709677419
38000,32,6.640625
39000,33,6.4393939393939394
40000,31,6.854838709677419
41000,33,6.4393939393939394
42000,32,6.640625
43000,32,6.640625
44000,36,5.902777777777778
45000,42,5.059523809523809
46000,47,4.5212765957446805
47000,42,5.059523809523809
48000,35,6.071428571428571
49000,36,5.902777777777778
50000,36,5.902777777777778
51000,40,5.3125
52000,35,6.071428571428571
53000,39,5.448717948717949
54000,38,5.592105263157895
55000,38,5.592105263157895
56000,39,5.448717948717949
57000,45,4.722222222222222
58000,32,6.640625
59000,35,6.071428571428571
60000,42,5.059523809523809
61000,41,5.182926829268292
62000,35,6.071428571428571
63000,38,5.592105263157895
64000,40,5.3125
65000,40,5.3125
66000,37,5.743243243243243
67000,39,5.448717948717949
68000,36,5.902777777777778
69000,39,5.448717948717949
70000,36,5.902777777777778
71000,37,5.743243243243243
72000,40,5.3125
73000,40,5.3125
74000,43,4.941860465116279
75000,39,5.448717948717949
76000,42,5.059523809523809
77000,38,5.592105263157895
78000,35,6.071428571428571
79000,39,5.448717948717949
80000,42,5.059523809523809
81000,41,5.182926829268292
82000,34,6.25
83000,35,6.071428571428571
84000,40,5.3125
85000,38,5.592105263157895
86000,42,5.059523809523809
87000,42,5.059523809523809
88000,37,5.743243243243243
89000,44,4.829545454545454
90000,39,5.448717948717949
91000,42,5.059523809523809
92000,45,4.722222222222222
93000,42,5.059523809523809
94000,44,4.829545454545454
95000,40,5.3125
96000,35,6.071428571428571
97000,36,5.902777777777778
98000,39,5.448717948717949
99000,37,5.743243243243243
100000,39,5.448717948717949
101000,40,5.3125
102000,45,4.722222222222222
103000,36,5.902777777777778
104000,42,5.059523809523809
105000,42,5.059523809523809
106000,41,5.182926829268292
107000,39,5.448717948717949
108000,46,4.619565217391305
109000,41,5.182926829268292
110000,46,4.619565217391305
111000,46,4.619565217391305
112000,41,5.182926829268292
113000,48,4.427083333333333
114000,42,5.059523809523809
115000,39,5.448717948717949
