# bincenter, RDF
0.104000 0.000000
0.112000 0.000000
0.120000 6.861720
0.128000 0.000000
0.136000 0.000000
0.144000 0.000000
0.152000 0.000000
0.160000 0.000000
0.168000 0.000000
0.176000 0.000000
0.184000 2.919117
0.192000 0.000000
0.200000 0.000000
0.208000 0.000000
0.216000 0.000000
0.224000 1.969758
0.232000 1.836277
0.240000 1.715901
0.248000 3.213999
0.256000 3.016265
0.264000 1.418129
0.272000 2.671875
0.280000 0.000000
0.288000 2.383274
0.296000 1.128095
0.304000 0.000000
0.312000 1.015364
0.320000 0.965238
0.328000 0.918727
0.336000 0.875502
0.344000 0.000000
0.352000 0.797726
0.360000 1.525328
0.368000 1.459732
0.376000 0.699140
0.384000 1.340626
0.392000 0.000000
0.400000 1.235523
0.408000 1.187553
0.416000 0.571155
0.424000 1.649432
0.432000 3.177796
0.440000 1.021103
0.448000 1.477435
0.456000 0.475353
0.464000 0.459101
0.472000 0.000000
0.480000 0.429007
0.488000 1.245166
0.496000 1.205328
0.504000 1.556488
0.512000 2.262333
0.520000 2.193266
0.528000 0.709107
0.536000 1.376191
0.544000 1.002005
0.552000 0.973176
0.560000 0.315192
0.568000 0.919121
0.576000 1.191688
0.584000 0.869448
0.592000 2.538348
0.600000 0.823698
0.608000 0.534775
0.616000 0.520976
0.624000 1.015413
0.632000 0.989865
0.640000 1.930540
0.648000 1.412379
0.656000 0.689075
0.664000 0.672565
0.672000 0.218883
0.680000 0.427525
0.688000 0.835289
0.696000 1.224285
0.704000 0.997183
0.712000 0.779924
0.720000 0.572017
0.728000 1.492034
0.736000 0.729885
0.744000 1.249989
0.752000 1.048738
0.760000 1.026775
0.768000 0.502748
0.776000 0.328292
0.784000 0.804061
0.792000 1.575800
0.800000 0.926664
0.808000 1.211220
0.816000 1.039132
0.824000 1.455778
0.832000 0.713962
0.840000 1.120695
0.848000 0.824727
0.856000 0.674489
0.864000 1.588948
0.872000 1.299927
0.880000 0.638201
0.888000 1.378854
0.896000 1.108107
0.904000 0.362859
0.912000 1.544917
0.920000 0.934259
0.928000 1.147782
0.936000 1.692356
0.944000 0.554599
0.952000 0.981567
0.960000 1.179795
0.968000 0.632927
0.976000 0.518827
0.984000 1.327105
0.992000 1.004461
1.000000 0.790757
1.008000 0.972819
1.016000 1.053330
1.024000 0.942654
1.032000 0.928094
1.040000 1.096656
1.048000 1.439956
1.056000 1.063669
1.064000 0.960421
1.072000 1.032154
1.080000 0.762703
1.088000 1.002024
1.096000 1.398878
1.104000 1.865273
1.112000 1.119111
1.120000 0.945579
1.128000 0.543793
1.136000 0.995726
1.144000 1.132903
1.152000 1.042757
1.160000 1.322238
1.168000 0.869456
1.176000 1.000616
1.184000 1.621731
1.192000 0.973931
1.200000 1.372843
1.208000 0.745097
1.216000 0.869033
1.224000 0.725742
1.232000 1.041966
1.240000 0.964278
1.248000 0.888486
1.256000 1.002525
1.264000 0.928002
1.272000 0.977476
1.280000 1.025615
1.288000 1.429988
1.296000 1.000447
1.304000 1.220721
1.312000 0.976192
1.320000 1.474962
1.328000 0.952806
1.336000 0.775313
1.344000 0.766095
1.352000 0.811131
1.360000 1.122263
1.368000 1.161999
1.376000 0.887492
1.384000 1.186894
1.392000 0.867222
1.400000 1.260776
1.408000 1.296345
1.416000 1.281746
1.424000 0.584944
1.432000 1.012247
1.440000 1.239376
1.448000 0.990003
1.456000 1.352181
1.464000 0.968487
1.472000 0.821127
1.480000 1.263538
1.488000 0.937492
1.496000 0.883322
1.504000 0.786562
1.512000 0.994452
1.520000 1.155132
1.528000 1.185402
1.536000 1.089296
1.544000 1.368269
1.552000 1.190060
1.560000 1.137270
1.568000 1.608129
1.576000 1.273500
1.584000 1.497019
1.592000 1.131012
1.600000 1.042501
1.608000 0.841019
1.616000 1.059817
1.624000 1.086877
1.632000 0.964926
1.640000 1.102520
1.648000 0.873473
1.656000 1.117373
1.664000 1.213740
1.672000 0.954652
1.680000 1.120687
1.688000 1.110099
1.696000 0.893476
1.704000 1.021256
1.712000 1.146635
1.720000 1.002353
1.728000 1.390325
1.736000 0.918353
1.744000 1.299935
1.752000 0.966066
1.760000 1.212609
1.768000 1.043524
1.776000 0.846123
1.784000 1.024893
1.792000 1.046542
1.800000 1.159294
1.808000 1.118817
1.816000 0.989111
1.824000 0.861593
1.832000 1.472561
1.840000 1.080244
1.848000 1.041961
1.856000 1.119084
1.864000 1.251749
1.872000 1.410305
1.880000 0.894939
1.888000 1.053742
1.896000 0.934880
1.904000 1.308764
1.912000 1.189685
1.920000 1.072538
1.928000 1.116841
1.936000 1.186758
1.944000 1.386237
1.952000 1.115481
1.960000 1.337966
1.968000 1.225029
1.976000 1.215124
1.984000 1.205354
1.992000 0.996404
2.000000 0.939052
