timestep,n_clusters,avg_cluster_size
16000,22,16.363636363636363
17000,25,14.4
18000,21,17.142857142857142
19000,26,13.846153846153847
20000,26,13.846153846153847
21000,29,12.413793103448276
22000,30,12.0
23000,23,15.652173913043478
24000,24,15.0
25000,27,13.333333333333334
26000,32,11.25
27000,33,10.909090909090908
28000,27,13.333333333333334
29000,31,11.612903225806452
30000,24,15.0
31000,28,12.857142857142858
32000,26,13.846153846153847
33000,24,15.0
34000,26,13.846153846153847
35000,27,13.333333333333334
36000,25,14.4
37000,23,15.652173913043478
38000,26,13.846153846153847
39000,27,13.333333333333334
40000,22,16.363636363636363
41000,25,14.4
42000,22,16.363636363636363
43000,25,14.4
44000,23,15.652173913043478
45000,23,15.652173913043478
46000,22,16.363636363636363
47000,24,15.0
48000,23,15.652173913043478
49000,29,12.413793103448276
50000,23,15.652173913043478
51000,26,13.846153846153847
52000,23,15.652173913043478
53000,28,12.857142857142858
54000,29,12.413793103448276
55000,27,13.333333333333334
56000,22,16.363636363636363
57000,27,13.333333333333334
58000,22,16.363636363636363
59000,29,12.413793103448276
60000,27,13.333333333333334
61000,29,12.413793103448276
62000,28,12.857142857142858
63000,29,12.413793103448276
64000,31,11.612903225806452
65000,26,13.846153846153847
66000,25,14.4
67000,26,13.846153846153847
68000,26,13.846153846153847
69000,26,13.846153846153847
70000,24,15.0
71000,23,15.652173913043478
72000,24,15.0
73000,21,17.142857142857142
74000,28,12.857142857142858
75000,22,16.363636363636363
76000,23,15.652173913043478
77000,21,17.142857142857142
78000,25,14.4
79000,22,16.363636363636363
80000,20,18.0
81000,27,13.333333333333334
82000,28,12.857142857142858
83000,24,15.0
84000,26,13.846153846153847
85000,23,15.652173913043478
86000,22,16.363636363636363
87000,25,14.4
88000,28,12.857142857142858
89000,26,13.846153846153847
90000,27,13.333333333333334
91000,24,15.0
92000,23,15.652173913043478
93000,25,14.4
94000,24,15.0
95000,28,12.857142857142858
96000,26,13.846153846153847
97000,23,15.652173913043478
98000,17,21.176470588235293
99000,27,13.333333333333334
100000,21,17.142857142857142
101000,21,17.142857142857142
102000,19,18.94736842105263
103000,27,13.333333333333334
104000,20,18.0
105000,23,15.652173913043478
106000,20,18.0
107000,25,14.4
108000,20,18.0
109000,22,16.363636363636363
110000,22,16.363636363636363
111000,18,20.0
112000,23,15.652173913043478
113000,21,17.142857142857142
114000,24,15.0
115000,21,17.142857142857142
