# bincenter, RDF
0.104000 0.000000
0.112000 0.000000
0.120000 0.000000
0.128000 0.000000
0.136000 0.000000
0.144000 0.000000
0.152000 0.000000
0.160000 3.426831
0.168000 0.000000
0.176000 0.000000
0.184000 0.000000
0.192000 4.759788
0.200000 2.193341
0.208000 0.000000
0.216000 1.880472
0.224000 3.497115
0.232000 0.000000
0.240000 1.523208
0.248000 4.279608
0.256000 2.677544
0.264000 2.517752
0.272000 1.185914
0.280000 1.119123
0.288000 2.115636
0.296000 0.000000
0.304000 0.949405
0.312000 0.901341
0.320000 0.856843
0.328000 0.815555
0.336000 0.777185
0.344000 0.741456
0.352000 2.124427
0.360000 0.000000
0.368000 2.591614
0.376000 0.620628
0.384000 0.595038
0.392000 0.571000
0.400000 1.096776
0.408000 2.108385
0.416000 1.521046
0.424000 1.464204
0.432000 0.940312
0.440000 1.359653
0.448000 1.311522
0.456000 1.687888
0.464000 1.630179
0.472000 0.000000
0.480000 2.665812
0.488000 1.842226
0.496000 1.783286
0.504000 2.417970
0.512000 2.342990
0.520000 1.946966
0.528000 0.944213
0.536000 1.832470
0.544000 0.889481
0.552000 1.439816
0.560000 1.678778
0.568000 1.087873
0.576000 1.586796
0.584000 1.286351
0.592000 1.001465
0.600000 1.218663
0.608000 1.424163
0.616000 1.387415
0.624000 2.028114
0.632000 1.098381
0.640000 1.071090
0.648000 0.626886
0.656000 2.038976
0.664000 1.592099
0.672000 0.971514
0.680000 1.138545
0.688000 2.039091
0.696000 0.905666
0.704000 0.531121
0.712000 0.865424
0.720000 1.523342
0.728000 0.993361
0.736000 1.619801
0.744000 1.268135
0.752000 1.241288
0.760000 1.215294
0.768000 2.528978
0.776000 1.457126
0.784000 1.142026
0.792000 1.119072
0.800000 1.096802
0.808000 1.344002
0.816000 1.317770
0.824000 1.163067
0.832000 0.507028
0.840000 0.621777
0.848000 1.464224
0.856000 1.676486
0.864000 1.528055
0.872000 1.730921
0.880000 1.472983
0.888000 1.224011
0.896000 1.202262
0.904000 0.966330
0.912000 1.687908
0.920000 1.036679
0.928000 1.732110
0.936000 1.402154
0.944000 0.984638
0.952000 1.355416
0.960000 2.665869
0.968000 0.936418
0.976000 1.105353
0.984000 1.359315
0.992000 1.872491
1.000000 0.965190
1.008000 0.863573
1.016000 1.190055
1.024000 1.589912
1.032000 1.812515
1.040000 1.379129
1.048000 1.278251
1.056000 1.573702
1.064000 1.162592
1.072000 0.839891
1.080000 1.203649
1.088000 2.001371
1.096000 1.607018
1.104000 1.295848
1.112000 1.561115
1.120000 0.909342
1.128000 1.379218
1.136000 1.427850
1.144000 1.407951
1.152000 1.586840
1.160000 1.565003
1.168000 1.350681
1.176000 1.268927
1.184000 1.314430
1.192000 1.482103
1.200000 1.828013
1.208000 1.683625
1.216000 1.127492
1.224000 1.171351
1.232000 1.214004
1.240000 1.654916
1.248000 1.521085
1.256000 1.390537
1.264000 1.208223
1.272000 0.921939
1.280000 1.606659
1.288000 1.375186
1.296000 1.306027
1.304000 1.651255
1.312000 0.866567
1.320000 1.611479
1.328000 1.492601
1.336000 1.081531
1.344000 1.360127
1.352000 1.152068
1.360000 1.565512
1.368000 1.453490
1.376000 1.065886
1.384000 1.465889
1.392000 1.132109
1.400000 1.253496
1.408000 1.504850
1.416000 1.444141
1.424000 1.774124
1.432000 1.454832
1.440000 1.269458
1.448000 1.213619
1.456000 0.993379
1.464000 1.228182
1.472000 0.890897
1.480000 1.161704
1.488000 1.624797
1.496000 1.568253
1.504000 1.512837
1.512000 1.036303
1.520000 1.329239
1.528000 1.728751
1.536000 1.227308
1.544000 0.846550
1.552000 1.675698
1.560000 1.334056
1.568000 1.605981
1.576000 1.095160
1.584000 1.573705
1.592000 1.523312
1.600000 1.165356
1.608000 1.187731
1.616000 1.310402
1.624000 1.097901
1.632000 1.317794
1.640000 1.500687
1.648000 1.744613
1.656000 1.183873
1.664000 1.140818
1.672000 1.506572
1.680000 1.772052
1.688000 0.985437
1.696000 1.464259
1.704000 0.876351
1.712000 1.496867
1.720000 1.275367
1.728000 1.234194
1.736000 1.659562
1.744000 1.211653
1.752000 1.457883
1.760000 1.586325
1.768000 1.291259
1.776000 1.112748
1.784000 1.488762
1.792000 1.475498
1.800000 1.543660
1.808000 0.993176
1.816000 1.117499
1.824000 1.397807
1.832000 1.228763
1.840000 1.166271
1.848000 1.438812
1.856000 1.375495
1.864000 1.161688
1.872000 1.276968
1.880000 1.588877
1.888000 1.230800
1.896000 1.342477
1.904000 1.355424
1.912000 1.320107
1.920000 1.237722
1.928000 1.298290
1.936000 0.725735
1.944000 1.393092
1.952000 1.036271
1.960000 0.890786
1.968000 0.883562
1.976000 1.393279
1.984000 0.980828
1.992000 0.950848
2.000000 1.140713
