timestep,n_clusters,avg_cluster_size
11000,32,13.125
12000,29,14.482758620689655
13000,22,19.09090909090909
14000,24,17.5
15000,30,14.0
16000,32,13.125
17000,29,14.482758620689655
18000,35,12.0
19000,32,13.125
20000,33,12.727272727272727
21000,33,12.727272727272727
22000,38,11.052631578947368
23000,34,12.352941176470589
24000,23,18.26086956521739
25000,31,13.548387096774194
26000,34,12.352941176470589
27000,31,13.548387096774194
28000,33,12.727272727272727
29000,33,12.727272727272727
30000,30,14.0
31000,33,12.727272727272727
32000,32,13.125
33000,31,13.548387096774194
34000,30,14.0
35000,33,12.727272727272727
36000,35,12.0
37000,31,13.548387096774194
38000,32,13.125
39000,29,14.482758620689655
40000,30,14.0
41000,41,10.24390243902439
42000,39,10.76923076923077
43000,36,11.666666666666666
44000,34,12.352941176470589
45000,30,14.0
46000,31,13.548387096774194
47000,34,12.352941176470589
48000,34,12.352941176470589
49000,35,12.0
50000,34,12.352941176470589
51000,35,12.0
52000,35,12.0
53000,34,12.352941176470589
54000,27,15.555555555555555
55000,30,14.0
56000,26,16.153846153846153
57000,40,10.5
58000,27,15.555555555555555
59000,24,17.5
60000,30,14.0
61000,24,17.5
62000,31,13.548387096774194
63000,31,13.548387096774194
64000,30,14.0
65000,25,16.8
66000,26,16.153846153846153
67000,24,17.5
68000,29,14.482758620689655
69000,29,14.482758620689655
70000,29,14.482758620689655
71000,30,14.0
72000,29,14.482758620689655
73000,25,16.8
74000,28,15.0
75000,25,16.8
76000,27,15.555555555555555
77000,31,13.548387096774194
