# bincenter, RDF
0.104000 0.000000
0.112000 0.000000
0.120000 0.000000
0.128000 0.000000
0.136000 0.000000
0.144000 0.000000
0.152000 0.000000
0.160000 0.000000
0.168000 0.000000
0.176000 0.000000
0.184000 0.000000
0.192000 0.000000
0.200000 0.000000
0.208000 0.000000
0.216000 1.386259
0.224000 1.289013
0.232000 0.000000
0.240000 0.000000
0.248000 0.000000
0.256000 0.986925
0.264000 0.000000
0.272000 0.000000
0.280000 0.000000
0.288000 0.000000
0.296000 0.000000
0.304000 1.399777
0.312000 1.328912
0.320000 0.631653
0.328000 0.000000
0.336000 0.000000
0.344000 0.546592
0.352000 0.522033
0.360000 0.499089
0.368000 0.955251
0.376000 0.000000
0.384000 1.754616
0.392000 1.262800
0.400000 1.212793
0.408000 0.777137
0.416000 0.747530
0.424000 1.079391
0.432000 0.693185
0.440000 1.670530
0.448000 2.255951
0.456000 0.933216
0.464000 0.300436
0.472000 0.871019
0.480000 1.403715
0.488000 1.358065
0.496000 1.577537
0.504000 0.763927
0.512000 0.986983
0.520000 0.717639
0.528000 1.160101
0.536000 1.350872
0.544000 0.655714
0.552000 0.849131
0.560000 0.412524
0.568000 0.200491
0.576000 0.779843
0.584000 0.758625
0.592000 0.553700
0.600000 0.539029
0.608000 0.874895
0.616000 0.852320
0.624000 0.664488
0.632000 1.619424
0.640000 0.473756
0.648000 0.616176
0.656000 1.352795
0.664000 1.026965
0.672000 1.002662
0.680000 1.538754
0.688000 0.409961
0.696000 0.667645
0.704000 0.391535
0.712000 1.148363
0.720000 1.622092
0.728000 0.854341
0.736000 0.955277
0.744000 1.051708
0.752000 1.029444
0.760000 1.007885
0.768000 2.083661
0.776000 1.074174
0.784000 0.736651
0.792000 1.134327
0.800000 1.718163
0.808000 1.089858
0.816000 1.554308
0.824000 1.143196
0.832000 1.401654
0.840000 1.008404
0.848000 1.529159
0.856000 1.588992
0.864000 1.213112
0.872000 1.531214
0.880000 1.085863
0.888000 1.558561
0.896000 0.966863
0.904000 0.791517
0.912000 1.322072
0.920000 1.146339
0.928000 0.751111
0.936000 1.624305
0.944000 1.451723
0.952000 1.712905
0.960000 1.052809
0.968000 1.656755
0.976000 1.493894
0.984000 1.336092
0.992000 0.985982
1.000000 1.034945
1.008000 1.655198
1.016000 1.315939
1.024000 1.418812
1.032000 0.971754
1.040000 1.196089
1.048000 1.472359
1.056000 1.102106
1.064000 1.428412
1.072000 1.013165
1.080000 1.441885
1.088000 1.420740
1.096000 1.184672
1.104000 1.485994
1.112000 1.255454
1.120000 1.392275
1.128000 1.220089
1.136000 1.002469
1.144000 1.186198
1.152000 1.364763
1.160000 1.345983
1.168000 0.900875
1.176000 1.028980
1.184000 1.107405
1.192000 1.365733
1.200000 0.898391
1.208000 1.551432
1.216000 1.268631
1.224000 0.561278
1.232000 1.448962
1.240000 1.430324
1.248000 1.079793
1.256000 1.230102
1.264000 1.295543
1.272000 1.359282
1.280000 1.618690
1.288000 1.247715
1.296000 1.694503
1.304000 1.445523
1.312000 0.939444
1.320000 1.484950
1.328000 1.210358
1.336000 1.232176
1.344000 1.468192
1.352000 1.450869
1.360000 1.224019
1.368000 1.209750
1.376000 1.093226
1.384000 1.215713
1.392000 1.034874
1.400000 1.386091
1.408000 1.305124
1.416000 1.290426
1.424000 1.658750
1.432000 0.883221
1.440000 1.278964
1.448000 1.018065
1.456000 1.098459
1.464000 1.267559
1.472000 0.806020
1.480000 1.417477
1.488000 1.373064
1.496000 1.127193
1.504000 1.086647
1.512000 1.471308
1.520000 1.483844
1.528000 1.135889
1.536000 1.096673
1.544000 1.682262
1.552000 1.047322
1.560000 1.116347
1.568000 1.131289
1.576000 1.354244
1.584000 1.443697
1.592000 1.250575
1.600000 1.389696
1.608000 1.225811
1.616000 1.164167
1.624000 1.152722
1.632000 1.384331
1.640000 1.707528
1.648000 1.238472
1.656000 1.273721
1.664000 1.121327
1.672000 1.318866
1.680000 0.916725
1.688000 1.498305
1.696000 1.259337
1.704000 1.314346
1.712000 1.324165
1.720000 1.399343
1.728000 1.473060
1.736000 1.502430
1.744000 1.084617
1.752000 0.969366
1.760000 0.939711
1.768000 1.262300
1.776000 1.148424
1.784000 1.138143
1.792000 1.369718
1.800000 1.217823
1.808000 1.404948
1.816000 1.274937
1.824000 1.127656
1.832000 1.214195
1.840000 1.146346
1.848000 0.984911
1.856000 1.351995
1.864000 1.191486
1.872000 1.255152
1.880000 1.262806
1.888000 1.197675
1.896000 1.115612
1.904000 1.231157
1.912000 1.114716
1.920000 1.403741
1.928000 1.566134
1.936000 1.225328
1.944000 1.249479
1.952000 0.967639
1.960000 1.060784
1.968000 1.235894
1.976000 1.507528
1.984000 1.298210
1.992000 1.320399
2.000000 1.487778
